received_at_unix_s,received_at_monotonic_s,run_id,controller_fault_flags,controller_saturation_flags,imu_timestamp_us,t_sec,age_ms,pitch_deg,pitch_rate_dps,raw_acc_pitch_deg,fused_pitch_deg,gyro_pitch_rate_dps,filtered_pitch_rate_dps,u_sps,turn_sps,target_velocity_sps,applied_velocity_feedforward_sps,vel_error,measured_vel_sps,velocity_p_term_deg,velocity_i_term_deg,pitch_error_deg,pitch_sp_deg,rate_setpoint_dps,rate_error_dps,left_target_sps,right_target_sps,left_applied_sps,right_applied_sps,motor_update_dt_ms,motor_feedback_age_ms,left_actual_steps,right_actual_steps,command_saturated,actuator_fault
1784742959.5770402,386128.0145282,0,0,0,0,57.77750015258789,0.5690000057220459,-1.8787325620651243,-0.3415690064430237,8.1648588180542,-1.8787325620651243,-0.1399997174739837,-0.3415690064430237,-71.39620208740234,0.0,0.0,0.0,-73.85245513916016,39.65412521362305,-0.2806393206119537,-1.4111608266830444,0.1869324147701263,-1.6918001174926758,6.050150871276856,6.391720294952393,-71.39620208740234,-71.39620208740234,-0.0,-0.0,2.497999906539917,0.0010000000474974,-8165,-8399,False,False
1784742959.5798662,386128.017352,0,0,0,0,57.77999877929688,0.6639999747276306,-1.8783079385757449,-0.0413302294909954,7.807677268981934,-1.8783079385757449,0.0437499098479747,-0.0413302294909954,-67.21998596191406,0.0,0.0,0.0,-73.85245513916016,28.446060180664062,-0.2806393206119537,-1.4111608266830444,0.1865077912807464,-1.6918001174926758,5.976515293121338,6.017845630645752,-67.21998596191406,-67.21998596191406,-0.0,-0.0,2.499000072479248,2.5,-8165,-8399,False,False
1784742959.5833004,386128.0207864,0,0,0,0,57.782501220703125,0.7609999775886536,-1.87224805355072,2.149578809738159,-4.8720703125,-1.87224805355072,2.939994096755981,2.149578809738159,-35.68669128417969,0.0,0.0,0.0,-73.85245513916016,12.965569496154783,-0.2806393206119537,-1.4111608266830444,0.1804479211568832,-1.6918001174926758,5.344417572021484,3.194838762283325,-35.68669128417969,-35.68669128417969,-200.0,-200.0,2.500999927520752,0.0010000000474974,-8165,-8399,False,False
1784742959.5873268,386128.0248105,0,0,0,0,57.78499984741211,0.8659999966621399,-1.8577766418457031,7.23665189743042,-17.15386390686035,-1.8577766418457031,9.24873161315918,7.23665189743042,-44.92374420166016,0.0,0.0,0.0,-12.965569496154783,5.909640312194824,-0.0492691621184349,-1.411452293395996,0.3970551490783691,-1.460721492767334,11.258434295654297,4.021782398223877,-44.92374420166016,-44.92374420166016,-200.0,-200.0,2.500999927520752,2.502000093460083,-8165,-8399,False,False
1784742959.5922966,386128.0297822,0,0,0,0,57.78750228881836,0.9660000205039978,-1.8385571241378784,6.913046836853027,11.143232345581056,-1.8385571241378784,6.641236305236816,6.913046836853027,-42.3914909362793,0.0,0.0,0.0,-12.965569496154783,-7.668455600738525,-0.0492691621184349,-1.411452293395996,0.3778356313705444,-1.460721492767334,10.708130836486816,3.795083522796631,-42.3914909362793,-42.3914909362793,-0.0,-0.0,2.5,0.0020000000949949,-8166,-8400,False,False
1784742959.5924811,386128.0299684,0,0,0,0,57.78999710083008,1.0470000505447388,-1.8160420656204224,9.18130588531494,-10.593951225280762,-1.8160420656204224,10.237479209899902,9.18130588531494,-3.9395906925201416,0.0,0.0,0.0,-12.965569496154783,-13.854334831237791,-0.0492691621184349,-1.411452293395996,0.355320543050766,-1.460721492767334,9.53399658203125,0.3526906371116638,-3.9395906925201416,-3.9395906925201416,-0.0,-0.0,2.496999979019165,2.499000072479248,-8166,-8400,False,False
1784742959.596177,386128.0336624,0,0,0,0,57.79249954223633,1.159000039100647,-1.7914773225784302,9.15264129638672,-10.692049980163574,-1.7914773225784302,8.671232223510742,9.15264129638672,4.456672668457031,0.0,0.0,0.0,-12.965569496154783,-16.681835174560547,-0.0492691621184349,-1.411452293395996,0.3307558596134186,-1.460721492767334,8.75365924835205,-0.398982286453247,4.456672668457031,4.456672668457031,0.0,0.0,2.503000020980835,0.0020000000949949,-8166,-8400,False,False
1784742959.5973797,386128.0348628,0,0,0,0,57.79499816894531,0.0570000000298023,-1.7597806453704834,7.539028644561768,0.5910491347312927,-1.7597806453704834,6.746236324310303,7.539028644561768,-5.842609405517578,0.0,0.0,0.0,-12.965569496154783,-17.968093872070312,-0.0492691621184349,-1.411452293395996,0.299059122800827,-1.460721492767334,8.06208610534668,0.5230579376220703,-5.842609405517578,-5.842609405517578,-0.0,-0.0,2.497999906539917,2.5,-8166,-8400,False,False
1784742959.5976946,386128.0351803,0,0,0,0,57.79750061035156,0.1570000052452087,-1.7446491718292236,5.648530960083008,-1.1639539003372192,-1.7446491718292236,4.873740196228027,5.648530960083008,-25.774463653564453,0.0,0.0,0.0,-12.965569496154783,-18.55537986755371,-0.0492691621184349,-1.411452293395996,0.283927708864212,-1.460721492767334,7.9559807777404785,2.30745005607605,-25.774463653564453,-25.774463653564453,-0.0,-0.0,2.500999927520752,5.000999927520752,-8166,-8400,False,False
1784742959.6016123,386128.0390958,0,0,0,0,57.79999923706055,0.2599999904632568,-1.7332773208618164,4.119916915893555,-4.1964263916015625,-1.7332773208618164,3.39499306678772,4.119916915893555,-42.199405670166016,0.0,0.0,0.0,-12.965569496154783,-8.462762832641602,-0.0492691621184349,-1.411452293395996,0.2725558578968048,-1.460721492767334,7.897803783416748,3.777887105941773,-42.199405670166016,-42.199405670166016,-0.0,-0.0,2.499000072479248,0.0,-8166,-8400,False,False
1784742959.6046946,386128.0421787,0,0,0,0,57.8025016784668,0.3610000014305115,-1.7260441780090332,2.4397759437561035,-1.6392186880111694,-1.7260441780090332,1.802496314048767,2.4397759437561035,-62.13477325439453,0.0,0.0,0.0,-12.965569496154783,-3.856072664260864,-0.0492691621184349,-1.411452293395996,0.2653226554393768,-1.460721492767334,8.00236988067627,5.562593936920166,-62.13477325439453,-62.13477325439453,-0.0,-0.0,2.502000093460083,2.502000093460083,-8166,-8400,False,False
1784742959.60755,386128.045036,0,0,0,0,57.80500030517578,0.4580000042915344,-1.7222131490707395,1.1367157697677612,-1.4552541971206665,-1.7222131490707395,0.7612484693527222,1.1367157697677612,-78.23178100585938,0.0,0.0,0.0,-12.965569496154783,-1.7586829662322998,-0.0492691621184349,-1.411452293395996,0.2614916265010834,-1.460721492767334,8.140389442443848,7.003673076629639,-78.23178100585938,-78.23178100585938,-0.0,-0.0,2.499000072479248,0.0010000000474974,-8166,-8400,False,False
1784742959.6098518,386128.0473383,0,0,0,0,57.80750274658203,0.550000011920929,-1.7202374935150146,0.376024454832077,2.617292642593384,-1.7202374935150146,-0.1224997490644455,0.376024454832077,-107.73589324951172,0.0,0.0,0.0,1.7586829662322998,-0.8015987873077393,0.0066829952411353,-1.4114127159118652,0.3155077397823334,-1.4047297239303589,10.021042823791504,9.645017623901367,-107.73589324951172,-107.73589324951172,-0.0,-0.0,2.500999927520752,2.502000093460083,-8166,-8400,False,False
1784742959.609916,386128.0474041,0,0,0,0,57.80999755859375,0.652999997138977,-1.7190659046173096,0.0221671108156442,0.7405045032501221,-1.7190659046173096,-0.1487496942281723,0.0221671108156442,-112.06027221679688,0.0,0.0,0.0,1.7586829662322998,-0.3658240735530853,0.0066829952411353,-1.4114127159118652,0.3143361806869507,-1.4047297239303589,10.05432415008545,10.03215789794922,-112.06027221679688,-112.06027221679688,-0.0,-0.0,2.496999979019165,4.999000072479248,-8166,-8400,False,False
1784742959.614906,386128.0523905,0,0,0,0,57.8125,0.7480000257492065,-1.7179498672485352,0.2627073526382446,0.1738865077495575,-1.7179498672485352,0.5249989628791809,0.2627073526382446,-108.4371109008789,0.0,0.0,0.0,1.7586829662322998,-0.1666360199451446,0.0066829952411353,-1.4114127159118652,0.3132201135158539,-1.4047297239303589,9.970501899719238,9.707794189453123,-108.4371109008789,-108.4371109008789,-0.0,-0.0,2.503000020980835,2.502000093460083,-8166,-8400,False,False
