Starting IMU.
ISM330 requested ODR=833.000000; accel now=833.000000, gyro now=833.000000
Trigger 'imu833' sampling_frequency now=833.000000
iio:device1: using trigger 'imu833'
iio:device0: using trigger 'imu833'
Polling for IMU data...
acc_x=-0.164m/s, acc_y=-0.358m/s, acc_z=10.073m/s, gyrv_x=-0.297°/s, gyrv_y=-0.420°/s, gyrv_z=-0.044°/s, time=7500.136
acc_x=-0.188m/s, acc_y=-0.347m/s, acc_z=10.045m/s, gyrv_x=0.017°/s, gyrv_y=-0.394°/s, gyrv_z=-0.122°/s, time=7500.137
acc_x=-0.188m/s, acc_y=-0.348m/s, acc_z=10.056m/s, gyrv_x=-0.149°/s, gyrv_y=-0.569°/s, gyrv_z=-0.061°/s, time=7500.138
acc_x=-0.188m/s, acc_y=-0.365m/s, acc_z=10.064m/s, gyrv_x=-0.157°/s, gyrv_y=-0.394°/s, gyrv_z=-0.306°/s, time=7500.140
acc_x=-0.214m/s, acc_y=-0.306m/s, acc_z=10.068m/s, gyrv_x=0.114°/s, gyrv_y=-0.490°/s, gyrv_z=-0.210°/s, time=7500.141
acc_x=-0.225m/s, acc_y=-0.315m/s, acc_z=10.045m/s, gyrv_x=-0.376°/s, gyrv_y=-0.437°/s, gyrv_z=-0.262°/s, time=7500.142
acc_x=-0.236m/s, acc_y=-0.306m/s, acc_z=10.052m/s, gyrv_x=-0.350°/s, gyrv_y=-0.542°/s, gyrv_z=-0.254°/s, time=7500.143
acc_x=-0.254m/s, acc_y=-0.321m/s, acc_z=10.072m/s, gyrv_x=-0.429°/s, gyrv_y=-0.542°/s, gyrv_z=-0.446°/s, time=7500.144
acc_x=-0.244m/s, acc_y=-0.354m/s, acc_z=10.063m/s, gyrv_x=-0.210°/s, gyrv_y=-0.665°/s, gyrv_z=-0.306°/s, time=7500.146
acc_x=-0.260m/s, acc_y=-0.328m/s, acc_z=10.047m/s, gyrv_x=-0.402°/s, gyrv_y=-0.516°/s, gyrv_z=-0.219°/s, time=7500.147
acc_x=-0.275m/s, acc_y=-0.329m/s, acc_z=10.085m/s, gyrv_x=-0.105°/s, gyrv_y=-0.656°/s, gyrv_z=-0.210°/s, time=7500.148
acc_x=-0.264m/s, acc_y=-0.336m/s, acc_z=10.081m/s, gyrv_x=-0.236°/s, gyrv_y=-0.691°/s, gyrv_z=-0.184°/s, time=7500.149
acc_x=-0.274m/s, acc_y=-0.324m/s, acc_z=10.081m/s, gyrv_x=-0.394°/s, gyrv_y=-0.814°/s, gyrv_z=-0.192°/s, time=7500.150
acc_x=-0.285m/s, acc_y=-0.329m/s, acc_z=10.086m/s, gyrv_x=-0.201°/s, gyrv_y=-0.787°/s, gyrv_z=-0.376°/s, time=7500.152
acc_x=-0.295m/s, acc_y=-0.334m/s, acc_z=10.098m/s, gyrv_x=-0.052°/s, gyrv_y=-0.787°/s, gyrv_z=-0.481°/s, time=7500.153
acc_x=-0.321m/s, acc_y=-0.346m/s, acc_z=10.103m/s, gyrv_x=-0.429°/s, gyrv_y=-0.674°/s, gyrv_z=-0.315°/s, time=7500.154
acc_x=-0.307m/s, acc_y=-0.339m/s, acc_z=10.089m/s, gyrv_x=-0.140°/s, gyrv_y=-0.586°/s, gyrv_z=-0.341°/s, time=7500.155
acc_x=-0.346m/s, acc_y=-0.333m/s, acc_z=10.079m/s, gyrv_x=-0.166°/s, gyrv_y=-0.429°/s, gyrv_z=-0.289°/s, time=7500.156
acc_x=-0.355m/s, acc_y=-0.319m/s, acc_z=10.102m/s, gyrv_x=-0.227°/s, gyrv_y=-0.534°/s, gyrv_z=-0.464°/s, time=7500.158
