Starting IMU.
ISM330 requested ODR=833.000000; accel now=833.000000, gyro now=833.000000
Trigger 'imu833' sampling_frequency now=833.000000
iio:device1: using trigger 'imu833'
iio:device0: using trigger 'imu833'
Polling for IMU data...
acc_x=-0.005m/s, acc_y=0.366m/s, acc_z=-9.695m/s, gyrv_x=-0.192°/s, gyrv_y=-0.429°/s, gyrv_z=0.044°/s, time=7411.994
acc_x=0.016m/s, acc_y=0.385m/s, acc_z=-9.696m/s, gyrv_x=-0.192°/s, gyrv_y=-0.490°/s, gyrv_z=0.131°/s, time=7411.996
acc_x=0.006m/s, acc_y=0.392m/s, acc_z=-9.684m/s, gyrv_x=-0.341°/s, gyrv_y=-0.367°/s, gyrv_z=0.149°/s, time=7411.997
acc_x=0.005m/s, acc_y=0.398m/s, acc_z=-9.679m/s, gyrv_x=-0.157°/s, gyrv_y=-0.560°/s, gyrv_z=0.324°/s, time=7411.998
acc_x=-0.017m/s, acc_y=0.355m/s, acc_z=-9.683m/s, gyrv_x=0.114°/s, gyrv_y=-0.376°/s, gyrv_z=-0.017°/s, time=7411.999
acc_x=0.023m/s, acc_y=0.367m/s, acc_z=-9.699m/s, gyrv_x=-0.044°/s, gyrv_y=-0.612°/s, gyrv_z=0.149°/s, time=7412.000
acc_x=0.001m/s, acc_y=0.381m/s, acc_z=-9.689m/s, gyrv_x=-0.096°/s, gyrv_y=-0.402°/s, gyrv_z=0.411°/s, time=7412.002
acc_x=0.026m/s, acc_y=0.389m/s, acc_z=-9.692m/s, gyrv_x=-0.254°/s, gyrv_y=-0.551°/s, gyrv_z=0.201°/s, time=7412.003
acc_x=0.027m/s, acc_y=0.391m/s, acc_z=-9.673m/s, gyrv_x=-0.437°/s, gyrv_y=-0.394°/s, gyrv_z=0.009°/s, time=7412.004
acc_x=-0.007m/s, acc_y=0.383m/s, acc_z=-9.650m/s, gyrv_x=-0.236°/s, gyrv_y=-0.306°/s, gyrv_z=0.114°/s, time=7412.005
acc_x=0.011m/s, acc_y=0.392m/s, acc_z=-9.663m/s, gyrv_x=-0.175°/s, gyrv_y=-0.332°/s, gyrv_z=0.236°/s, time=7412.006
acc_x=0.008m/s, acc_y=0.391m/s, acc_z=-9.667m/s, gyrv_x=-0.289°/s, gyrv_y=-0.604°/s, gyrv_z=0.157°/s, time=7412.008
acc_x=-0.001m/s, acc_y=0.370m/s, acc_z=-9.676m/s, gyrv_x=-0.044°/s, gyrv_y=-0.289°/s, gyrv_z=-0.070°/s, time=7412.009
acc_x=-0.000m/s, acc_y=0.415m/s, acc_z=-9.692m/s, gyrv_x=0.044°/s, gyrv_y=-0.350°/s, gyrv_z=0.192°/s, time=7412.010
acc_x=0.004m/s, acc_y=0.383m/s, acc_z=-9.697m/s, gyrv_x=-0.219°/s, gyrv_y=-0.210°/s, gyrv_z=0.044°/s, time=7412.011
acc_x=-0.002m/s, acc_y=0.402m/s, acc_z=-9.689m/s, gyrv_x=-0.280°/s, gyrv_y=-0.446°/s, gyrv_z=0.262°/s, time=7412.012
acc_x=-0.010m/s, acc_y=0.382m/s, acc_z=-9.674m/s, gyrv_x=-0.070°/s, gyrv_y=-0.507°/s, gyrv_z=-0.079°/s, time=7412.014
acc_x=0.019m/s, acc_y=0.398m/s, acc_z=-9.687m/s, gyrv_x=-0.070°/s, gyrv_y=-0.367°/s, gyrv_z=0.009°/s, time=7412.015
acc_x=0.020m/s, acc_y=0.401m/s, acc_z=-9.698m/s, gyrv_x=-0.070°/s, gyrv_y=-0.289°/s, gyrv_z=-0.000°/s, time=7412.016
acc_x=0.036m/s, acc_y=0.371m/s, acc_z=-9.703m/s, gyrv_x=-0.254°/s, gyrv_y=-0.306°/s, gyrv_z=-0.262°/s, time=7412.017
acc_x=0.004m/s, acc_y=0.377m/s, acc_z=-9.694m/s, gyrv_x=-0.044°/s, gyrv_y=-0.499°/s, gyrv_z=0.009°/s, time=7412.018
acc_x=0.021m/s, acc_y=0.401m/s, acc_z=-9.687m/s, gyrv_x=-0.420°/s, gyrv_y=-0.525°/s, gyrv_z=-0.035°/s, time=7412.020
acc_x=0.003m/s, acc_y=0.376m/s, acc_z=-9.688m/s, gyrv_x=-0.350°/s, gyrv_y=-0.437°/s, gyrv_z=0.061°/s, time=7412.021
acc_x=0.010m/s, acc_y=0.382m/s, acc_z=-9.684m/s, gyrv_x=-0.070°/s, gyrv_y=-0.376°/s, gyrv_z=0.262°/s, time=7412.022
acc_x=0.001m/s, acc_y=0.390m/s, acc_z=-9.676m/s, gyrv_x=0.070°/s, gyrv_y=-0.402°/s, gyrv_z=0.245°/s, time=7412.023
acc_x=-0.011m/s, acc_y=0.389m/s, acc_z=-9.698m/s, gyrv_x=0.052°/s, gyrv_y=-0.350°/s, gyrv_z=0.157°/s, time=7412.024
acc_x=-0.005m/s, acc_y=0.396m/s, acc_z=-9.684m/s, gyrv_x=-0.087°/s, gyrv_y=-0.411°/s, gyrv_z=0.087°/s, time=7412.026
acc_x=-0.001m/s, acc_y=0.386m/s, acc_z=-9.680m/s, gyrv_x=-0.131°/s, gyrv_y=-0.385°/s, gyrv_z=0.245°/s, time=7412.027
acc_x=-0.013m/s, acc_y=0.354m/s, acc_z=-9.679m/s, gyrv_x=-0.140°/s, gyrv_y=-0.254°/s, gyrv_z=0.026°/s, time=7412.028
acc_x=0.042m/s, acc_y=0.385m/s, acc_z=-9.677m/s, gyrv_x=-0.140°/s, gyrv_y=-0.254°/s, gyrv_z=0.026°/s, time=7412.029
acc_x=0.042m/s, acc_y=0.385m/s, acc_z=-9.677m/s, gyrv_x=-0.114°/s, gyrv_y=-0.420°/s, gyrv_z=0.114°/s, time=7412.030
acc_x=-0.038m/s, acc_y=0.383m/s, acc_z=-9.676m/s, gyrv_x=-0.035°/s, gyrv_y=-0.525°/s, gyrv_z=0.227°/s, time=7412.032
acc_x=-0.011m/s, acc_y=0.378m/s, acc_z=-9.678m/s, gyrv_x=-0.122°/s, gyrv_y=-0.324°/s, gyrv_z=0.306°/s, time=7412.033
acc_x=-0.008m/s, acc_y=0.385m/s, acc_z=-9.666m/s, gyrv_x=-0.551°/s, gyrv_y=-0.411°/s, gyrv_z=0.157°/s, time=7412.034
acc_x=0.019m/s, acc_y=0.383m/s, acc_z=-9.691m/s, gyrv_x=-0.446°/s, gyrv_y=-0.525°/s, gyrv_z=0.026°/s, time=7412.035
acc_x=0.012m/s, acc_y=0.371m/s, acc_z=-9.693m/s, gyrv_x=-0.289°/s, gyrv_y=-0.315°/s, gyrv_z=0.087°/s, time=7412.036
acc_x=0.029m/s, acc_y=0.396m/s, acc_z=-9.670m/s, gyrv_x=-0.367°/s, gyrv_y=-0.376°/s, gyrv_z=0.236°/s, time=7412.038
acc_x=-0.004m/s, acc_y=0.394m/s, acc_z=-9.693m/s, gyrv_x=-0.184°/s, gyrv_y=-0.499°/s, gyrv_z=0.227°/s, time=7412.039
acc_x=0.004m/s, acc_y=0.371m/s, acc_z=-9.676m/s, gyrv_x=0.044°/s, gyrv_y=-0.560°/s, gyrv_z=0.201°/s, time=7412.040
