Requested sampling_freq=416.000000; now=416.000000
Ism330IioReader::__start_thread__.
IIO IMU started at accel@iio:device1 + gyro@iio:device0
acc_x=-1.224m/s, acc_y=-1.235m/s, acc_z=9.468m/s, gyrv_x=83.422°/s, gyrv_y=-55.982°/s, gyrv_z=-141.636°/s, time=7064.206
acc_x=3.936m/s, acc_y=1.674m/s, acc_z=8.691m/s, gyrv_x=-38.369°/s, gyrv_y=-64.164°/s, gyrv_z=11.147°/s, time=7064.259
acc_x=3.119m/s, acc_y=-1.994m/s, acc_z=13.094m/s, gyrv_x=64.689°/s, gyrv_y=-67.926°/s, gyrv_z=-99.724°/s, time=7064.313
acc_x=-4.615m/s, acc_y=2.135m/s, acc_z=14.957m/s, gyrv_x=50.829°/s, gyrv_y=-31.509°/s, gyrv_z=-75.582°/s, time=7064.372
acc_x=17.031m/s, acc_y=-0.426m/s, acc_z=7.440m/s, gyrv_x=-26.136°/s, gyrv_y=-40.950°/s, gyrv_z=-67.445°/s, time=7064.432
acc_x=8.695m/s, acc_y=-2.717m/s, acc_z=6.627m/s, gyrv_x=43.662°/s, gyrv_y=-45.036°/s, gyrv_z=-110.092°/s, time=7064.489
acc_x=0.318m/s, acc_y=-0.862m/s, acc_z=12.299m/s, gyrv_x=44.170°/s, gyrv_y=-22.269°/s, gyrv_z=-151.313°/s, time=7064.548
acc_x=-1.342m/s, acc_y=3.997m/s, acc_z=7.057m/s, gyrv_x=83.116°/s, gyrv_y=-41.309°/s, gyrv_z=-158.576°/s, time=7064.605
acc_x=2.232m/s, acc_y=-0.068m/s, acc_z=10.641m/s, gyrv_x=-0.682°/s, gyrv_y=13.519°/s, gyrv_z=-42.481°/s, time=7064.662
acc_x=9.155m/s, acc_y=-5.167m/s, acc_z=9.788m/s, gyrv_x=25.900°/s, gyrv_y=-42.367°/s, gyrv_z=-151.322°/s, time=7064.718
acc_x=0.683m/s, acc_y=1.501m/s, acc_z=6.033m/s, gyrv_x=59.806°/s, gyrv_y=29.820°/s, gyrv_z=-65.012°/s, time=7064.776
acc_x=-1.768m/s, acc_y=7.576m/s, acc_z=8.130m/s, gyrv_x=63.315°/s, gyrv_y=30.581°/s, gyrv_z=27.606°/s, time=7064.830
acc_x=4.813m/s, acc_y=-9.506m/s, acc_z=13.194m/s, gyrv_x=49.700°/s, gyrv_y=-44.747°/s, gyrv_z=-33.355°/s, time=7064.883
acc_x=-12.703m/s, acc_y=1.984m/s, acc_z=14.895m/s, gyrv_x=-42.350°/s, gyrv_y=33.232°/s, gyrv_z=3.272°/s, time=7064.940
acc_x=-0.763m/s, acc_y=-5.939m/s, acc_z=-0.711m/s, gyrv_x=68.005°/s, gyrv_y=-24.185°/s, gyrv_z=11.314°/s, time=7064.994
