t_sec,pitch_deg,pitch_rate_dps,raw_acc_pitch_deg,fused_pitch_deg,gyro_pitch_rate_dps,filtered_pitch_rate_dps,u_sps,pitch_sp_deg,rate_setpoint_dps,rate_error_dps,target_velocity_sps,vel_error,measured_vel_sps,left_applied_sps,right_applied_sps,motor_update_dt_ms,motor_feedback_age_ms,left_actual_steps,right_actual_steps,controller_saturation_flags,controller_fault_flags
55.009984,-0.6433727705624125,9.709638952118766,-16.224981477746383,-0.6433727705624125,10.482478752415616,9.709638952118766,7.370157539844513,-0.23347140928939156,9.049828377614896,-0.6598105745038716,0.0,-58.367852322347886,-18.20931875951901,0.0,0.0,2.5010000000000003,0.0,2436,2436,0,0
55.012483,-0.6172686143953651,11.957860015607604,-2.7931760559777343,-0.6172686143953651,12.556224549012029,11.957860015607604,46.92564904689789,-0.23347140928939156,7.756856739065357,-4.201003276542248,0.0,-58.367852322347886,-29.025640413779847,0.0,0.0,2.499,2.499,2436,2436,0,0
55.014983,-0.5898880355324767,10.977958946075796,9.956325611796785,-0.5898880355324767,10.027479674681382,10.977958946075796,41.8072909116745,-0.23347140928939156,7.235175798287434,-3.742783147788362,0.0,-58.367852322347886,-33.9600627087632,0.0,0.0,2.5,4.999,2436,2436,0,0
55.017483,-0.5671395539238939,8.308521873270292,7.842484499214727,-0.5671395539238939,7.078735651672983,8.308521873270292,11.649799346923828,-0.23347140928939156,7.265577581448492,-1.0429442918217986,0.0,-58.367852322347886,-37.245727058816506,0.0,0.0,2.5,2.499,2436,2436,0,0
55.019983,-0.5499385437622458,6.228856666578218,-0.5296641812662958,-0.5499385437622458,5.643738560357323,6.228856666578219,-12.007961422204971,-0.23347140928939156,7.3038655985953636,1.0750089320171454,0.0,-58.367852322347886,-38.743786711047285,-0.0,-0.0,2.5,4.999,2436,2436,0,0
55.022484,-0.5404775647491306,2.6707201210735367,8.437015282368904,-0.5404775647491306,0.9362481022608272,2.6707201210735367,-180.22159337997437,0.15497514684418914,18.804995894344565,16.134275773271032,0.0,38.743786711047285,-39.42698901779443,-0.0,-0.0,2.5010000000000003,7.5,2436,2436,0,0
55.024963,-0.5405729391116618,-0.49069311380110964,8.589046219733618,-0.5405729391116618,-1.5662468252774584,-0.49069311380110964,-224.39305782318115,0.15497514684418914,19.598019685214105,20.088712799015212,0.0,38.743786711047285,-39.73658031483836,-0.0,-0.0,2.4789999999999996,9.979,2436,2436,0,0
55.027484,-0.5454461582556591,-2.239759699105424,7.120719375743498,-0.545446158255659,-2.8874941471595603,-2.239759699105424,-250.33881664276123,0.15497514684418914,20.171736467572106,22.41149616667753,0.0,38.743786711047285,-61.76308477962783,-0.0,-0.0,2.521,2.501,2436,2436,0,0
55.029984,-0.5547551294147268,-4.150162066716356,4.29708789058537,-0.5547551294147268,-4.908740050171253,-4.150162066716356,-279.9245834350586,0.15497514684418914,20.909988251928734,25.06015031864509,0.0,38.743786711047285,-82.56633246287639,-200.0,-200.0,2.5,0.001,2436,2436,0,0
55.032484,-0.5671788847540197,-5.262445473906695,6.410344261866689,-0.5671788847540197,-5.696238453942042,-5.262445473906696,-299.34067726135254,0.15497514684418914,21.53592425322652,26.798369727133217,0.0,38.743786711047285,-92.05132626302904,-200.0,-200.0,2.5,2.501,2436,2436,0,0
55.034983,-0.5764760855138007,-2.9356285209462443,28.510689284429787,-0.5764760855138007,-1.1024977652791048,-2.935628520946244,-269.76001262664795,0.15497514684418914,21.21454163626027,24.150170157206517,0.0,38.743786711047285,-114.50675967868669,-200.0,-200.0,2.499,0.0,2435,2435,0,0
55.037484,-0.5858711230513957,-1.2248601693424497,-29.665993269672075,-0.5858711230513955,0.10499978716943856,-1.2248601693424497,-248.81157875061035,0.15497514684418914,21.049910599411984,22.274770768754433,0.0,38.743786711047285,-124.7536589653781,-200.0,-200.0,2.5010000000000003,2.501,2435,2435,0,0
55.039983,-0.5781735352487577,3.772758896278229,-10.756889375858163,-0.5781735352487577,4.462490954701139,3.772758896278229,-176.62413120269775,0.15497514684418914,19.584973374532954,15.812214478254726,0.0,38.743786711047285,-139.78223681910447,-400.0,-400.0,2.499,0.0,2434,2434,0,0
55.042484,-0.5607021107503896,9.210088280740019,-12.745420231679176,-0.5607021107503896,12.004975666372475,9.210088280740019,-95.24027109146118,0.15497514684418914,17.7364411424632,8.526352861723181,0.0,38.743786711047285,-146.64010149883748,-400.0,-400.0,2.5010000000000003,2.501,2434,2434,0,0
55.044983,-0.5310964380805611,14.46178850440407,-36.12608580878405,-0.5310964380805611,17.70996410257864,14.46178850440407,-147.63704538345337,0.58656040599535,27.67894450802449,13.217156003620419,0.0,146.64010149883748,-160.1247877647313,-200.0,-200.0,2.499,0.0,2432,2432,0,0
55.047483,-0.4872431210458346,19.202952302287237,-1.0848710985192573,-0.4872431210458346,20.5974582497382,19.202952302287237,-67.72222518920898,0.58656040599535,25.26576068158136,6.06280837929412,0.0,146.64010149883748,-166.27652203061,-200.0,-200.0,2.5,2.5,2432,2432,0,0
55.049984,-0.43605821944805445,22.1779807818925,-25.67146362523082,-0.43605821944805445,23.43245250331304,22.1779807818925,-10.174236446619034,0.58656040599535,23.088826316942203,0.9108455350497009,0.0,146.64010149883748,-169.08207055111467,-0.0,-0.0,2.5010000000000003,0.001,2431,2431,0,0
55.052484,-0.38234131381194036,22.62314179518801,-12.106563426616136,-0.38234131381194036,22.811203762560528,22.62314179518801,12.842045724391937,0.58656040599535,21.473462705807123,-1.1496790893808841,0.0,146.64010149883748,-170.36048877410423,0.0,0.0,2.5,2.501,2431,2431,0,0
55.054975,-0.33191015378581085,21.028187345480312,6.898054987059123,-0.3319101537858109,19.993709473513928,21.02818734548031,6.345272064208984,0.58656040599535,20.460128837502428,-0.5680585079778814,0.0,146.64010149883748,-170.94198531895725,0.0,0.0,2.491,4.992,2431,2431,0,0
55.057484,-0.2879652862160993,17.34961503894967,7.996129826575698,-0.28796528621609935,15.776218022208147,17.34961503894967,-31.272965669631958,0.58656040599535,20.14931562218316,2.799700583233494,0.0,146.64010149883748,-143.1608150836541,-0.0,-0.0,2.509,0.0,2431,2431,0,0
55.059983,-0.2528392353065292,12.892202956866111,5.3339507143749225,-0.2528392353065292,10.946227812413971,12.892202956866111,-82.5240433216095,0.58656040599535,20.28013921723609,7.387936260369979,0.0,146.64010149883748,-130.5632166779478,-0.0,-0.0,2.499,2.499,2431,2431,0,0
55.062484,-0.2328321748147755,6.485272323942058,5.874777509724841,-0.2328321748147755,2.92249407621604,6.485272323942058,-165.72418212890625,0.58656040599535,21.321674181698,14.83640185775594,0.0,146.64010149883748,-111.33910589417258,-0.0,-0.0,2.5010000000000003,0.0,2431,2431,0,0
55.064983,-0.22794317277039083,0.96629244437672,7.207262579348253,-0.22794317277039083,-1.2074975524485434,0.96629244437672,-197.0912218093872,0.4453564235766903,18.610815586624092,17.644523142247373,0.0,111.33910589417258,-102.58146651755101,-0.0,-0.0,2.499,2.499,2431,2431,0,0
