t_rel_s,pitch_deg,pitch_rate_dps,balance_command_sps,target_velocity_sps,completed_velocity_sps,left_applied_sps,right_applied_sps,controller_saturation_flags,controller_fault_flags,motor_update_dt_ms,motor_feedback_age_ms,left_actual_steps,right_actual_steps
1.222492,-0.1416296324752255,-4.8484767713191275,-297.0047950744629,0.0,-121.96519508944012,-400.0,-400.0,0,0,2.4979999999999998,2.498,5380,5380
1.242492,0.16411124969245827,15.877739786602485,95.14535069465637,0.0,-161.55298183175955,0.0,0.0,0,0,2.4979999999999998,2.497,5376,5376
1.262492,0.1820975868093474,-4.007882627239251,-151.22132301330566,0.0,-96.20141859414221,-0.0,-0.0,0,0,2.4979999999999998,4.995,5377,5377
1.282491,0.2294635167603779,2.9379369804246167,-2.477541007101536,0.0,-72.71514860039476,-0.0,-0.0,0,0,2.543,2.5,5375,5375
1.302493,0.21273313187634524,1.7717829183110472,62.24861145019531,0.0,-28.646169649336628,0.0,0.0,0,0,2.4979999999999998,0.003,5375,5375
1.322495,0.22972106156396402,-4.467789468783141,-35.61484217643738,0.0,-7.533941775632658,-0.0,-0.0,0,0,2.5010000000000003,2.501,5376,5376
1.342496,0.2093390694006246,5.130332945320084,160.79682111740112,0.0,19.14525056825466,0.0,0.0,0,0,2.5010000000000003,2.506,5376,5376
1.360051,0.24400092598548057,-0.6171229516395984,113.64490985870361,0.0,47.99384348729747,200.0,200.0,0,0,2.555,0.061,5378,5378
1.382494,0.1868798020427832,4.932070243503685,198.0077028274536,0.0,55.44137593077907,200.0,200.0,0,0,2.503,2.504,5379,5379
1.400005,0.19022140550531197,-11.55568325109342,-31.159639358520508,0.0,108.8094810554044,-0.0,-0.0,0,0,2.513,0.015,5383,5383
1.422511,0.08769771041243685,0.8007951881840871,174.7361421585083,0.0,80.94825967584406,200.0,200.0,0,0,2.519,4.995,5383,5383
1.442494,-0.05832105612480026,-12.117461313157692,-86.16186380386353,0.0,117.65808029610479,-0.0,-0.0,0,0,2.5010000000000003,0.0,5386,5386
1.462491,-0.0939196733910795,3.697580369820177,169.44974660873413,0.0,61.08872668524885,0.0,0.0,0,0,2.5010000000000003,4.936,5386,5386
1.482486,-0.13014526352342923,-6.056389672814273,-49.615269899368286,0.0,67.37609107167832,-0.0,-0.0,0,0,2.499,2.495,5388,5388
1.502486,-0.1391478628622795,1.1328256604964562,33.49129259586334,0.0,36.63000639722279,0.0,0.0,0,0,2.499,0.0,5388,5388
1.522493,-0.1759342921368836,-1.008706331499968,-23.51512908935547,0.0,27.58522676043487,-0.0,-0.0,0,0,2.507,2.506,5388,5388
1.542486,-0.18575264688945525,0.23728685562325616,-48.811665177345276,0.0,0.09404925240707826,-200.0,-200.0,0,0,2.5,2.499,5388,5388
1.562486,-0.18370071354556894,0.5726210325088403,-71.79121375083923,0.0,-29.358984968840755,-0.0,-0.0,0,0,2.5,2.499,5386,5386
1.582469,-0.20309508225170791,-4.784790877171298,-180.052649974823,0.0,-58.06999776108894,-200.0,-200.0,0,0,2.478,2.482,5385,5385
1.60249,-0.18632591850704866,-0.8139502705017124,-178.22221517562866,0.0,-96.48486152451649,-0.0,-0.0,0,0,2.5,2.503,5382,5382
1.62249,-0.15739509278009642,10.135385130119431,-52.614015340805054,0.0,-134.9729703868052,-200.0,-200.0,0,0,2.5,2.503,5379,5379
1.642493,-0.1081036629515388,-2.369713450707128,-219.37024593353271,0.0,-120.85408533944782,-200.0,-200.0,0,0,2.503,2.506,5377,5377
1.66249,0.07002389484142672,16.72670103082773,102.97770500183105,0.0,-159.07667339078625,0.0,0.0,0,0,2.499,0.0,5373,5373
1.682488,0.1471130393455999,-6.526900380816105,-244.13440227508545,0.0,-81.25237561986961,-200.0,-200.0,0,0,2.5,2.498,5374,5374
1.702488,0.2028197638595328,6.2915787278663275,50.48605799674988,0.0,-84.07750379534161,0.0,0.0,0,0,2.5,2.5,5371,5371
1.722487,0.1956404475557807,-1.3917705504837363,-60.653311014175415,0.0,-48.223552163911215,-0.0,-0.0,0,0,2.499,0.0,5371,5371
1.742487,0.3496568176206443,8.917976288220231,167.47324466705322,0.0,-19.17032715139059,200.0,200.0,0,0,2.4979999999999998,0.0,5372,5372
1.762491,0.3126754553622243,-5.899769018731782,4.485635831952095,0.0,54.60794145543025,0.0,0.0,0,0,2.4979999999999998,0.007,5374,5374
1.78249,0.35680204309258345,4.443431879715077,240.30051231384277,0.0,64.43583591803818,400.0,400.0,0,0,2.5,0.006,5375,5375
1.802489,0.26382044182736913,-0.008696499971068269,168.65068674087524,0.0,110.27906433712157,0.0,0.0,0,0,2.499,0.005,5379,5379
1.82249,0.2844827429797277,-10.362610134906665,71.65533900260925,0.0,158.86723794968344,200.0,200.0,0,0,2.5,0.006,5383,5383
1.842489,0.05336417957687328,-3.70057203950253,198.41269254684448,0.0,153.25461523934328,200.0,200.0,0,0,2.5,2.491,5384,5384
1.862489,-0.08658014281420928,-8.79144077783049,19.297371804714203,0.0,152.00228587058237,0.0,0.0,0,0,2.499,2.491,5387,5387
1.882493,-0.15725515316084743,-6.7209446782758535,13.064661622047424,0.0,87.10551041652953,200.0,200.0,0,0,2.5010000000000003,2.495,5388,5388
1.902492,-0.31265329644153156,-1.6353747796235425,-9.135708957910538,0.0,76.43469025766179,-200.0,-200.0,0,0,2.499,2.499,5389,5389
1.922491,-0.329825905176224,-4.009764665075527,-129.4952392578125,0.0,19.410003103445792,-0.0,-0.0,0,0,2.499,2.492,5388,5388
1.942491,-0.3443077911332703,-0.5525898652109877,-134.16675329208374,0.0,-55.72692836327333,-200.0,-200.0,0,0,2.499,2.492,5386,5386
1.962492,-0.25896148234107313,4.194220400352156,-121.90566062927246,0.0,-79.94220894137693,-0.0,-0.0,0,0,2.493,2.493,5384,5384
1.982497,-0.15131202335312147,8.518999433584108,-64.72180485725403,0.0,-106.81804624243908,-200.0,-200.0,0,0,2.505,2.498,5382,5382
2.002491,-0.1339184770270232,3.5932871590846944,-116.85365438461304,0.0,-111.01069507090004,-200.0,-200.0,0,0,2.541,2.492,5379,5379
2.022492,-0.015129093639359614,-0.7225420052943424,-164.9005889892578,0.0,-109.09911652233448,-200.0,-200.0,0,0,2.5010000000000003,2.493,5378,5378
2.042495,0.04761882176946202,16.906521582935618,96.8498706817627,0.0,-125.41673613601843,0.0,0.0,0,0,2.503,2.503,5374,5374
2.06249,0.19932216526804786,-2.9399743224342605,-132.81229734420776,0.0,-64.57805946266967,-0.0,-0.0,0,0,2.499,2.498,5375,5375
2.082489,0.19156281271773168,2.0264289917222724,7.417535781860352,0.0,-72.39686610788654,0.0,0.0,0,0,2.5,7.497,5374,5374
2.102491,0.17291286926919708,-0.7554910238192329,-23.691049218177795,0.0,-0.9652718632005038,-0.0,-0.0,0,0,2.5010000000000003,4.998,5374,5374
2.12249,0.18961793974050237,-0.7220860840341312,48.972293734550476,0.0,-18.226299951290112,0.0,0.0,0,0,2.5,4.998,5374,5374
2.14249,0.16245064734135514,-3.3953401924711955,1.2394762597978115,0.0,15.806431931784479,0.0,0.0,0,0,2.499,4.998,5375,5375
2.162491,0.16373541280576992,3.1155006844269,118.18767786026001,0.0,17.72508988304414,0.0,0.0,0,0,2.5,2.501,5375,5375
2.182489,0.10333115643021484,-0.883926153157138,62.607067823410034,0.0,37.922884751167636,0.0,0.0,0,0,2.4979999999999998,7.499,5376,5376
2.202489,0.1558062805364744,0.8134639811547879,87.60284781455994,0.0,35.00234673887365,0.0,0.0,0,0,2.499,4.999,5377,5377
2.22249,0.1386168090236982,-2.6088516310265915,77.31047868728638,0.0,57.059067447430934,0.0,0.0,0,0,2.5,0.0,5379,5379
2.24249,-0.00258083255470905,-2.456557577354453,58.46636891365051,0.0,75.90057379421923,0.0,0.0,0,0,2.5,2.5,5380,5380
2.262489,0.047193535301854606,0.2765333307984003,94.08059120178223,0.0,60.06581348812603,0.0,0.0,0,0,2.497,4.999,5381,5381
2.28249,-0.044815608659572695,-4.981517401855847,16.28490537405014,0.0,67.34267136896426,0.0,0.0,0,0,2.543,0.0,5383,5383
2.30249,-0.04195173021827537,-5.589441728724826,8.692393451929092,0.0,70.62661917742986,0.0,0.0,0,0,2.499,0.0,5384,5384
2.32249,-0.17535297183312404,-0.4217268830478506,27.62523591518402,0.0,47.207386547798805,0.0,0.0,0,0,2.5,2.499,5384,5384
2.342491,-0.17360351471975585,-3.87045567886399,-49.27961528301239,0.0,20.091124379580787,-0.0,-0.0,0,0,2.52,0.001,5384,5384
2.362491,-0.20811901146896525,3.054495655121541,2.6919199153780937,0.0,-9.50210296399866,0.0,0.0,0,0,2.5010000000000003,0.001,5383,5383
2.382487,-0.19232606042501285,-5.265512341519064,-145.56052684783936,0.0,-18.888790937496452,-0.0,-0.0,0,0,2.497,2.502,5383,5383
2.402488,-0.13885059454751802,9.312569720195835,62.86047101020813,0.0,-52.81791010187638,0.0,0.0,0,0,2.494,0.001,5381,5381
2.422488,-0.12944960015950588,-6.1249288840074945,-193.2630181312561,0.0,-40.14084898852103,-0.0,-0.0,0,0,2.5010000000000003,4.999,5381,5381
2.442487,-0.0640025409408139,13.435573157164917,121.99200391769409,0.0,-82.16029408245866,0.0,0.0,0,0,2.499,0.0,5378,5378
2.462488,-0.02038732327638583,-7.182538465156057,-192.50614643096924,0.0,-38.49254412998241,-200.0,-200.0,0,0,2.5,0.0,5379,5379
2.482489,0.11228149460181393,14.278750776160518,170.72244882583618,0.0,-62.40368510083555,200.0,200.0,0,0,2.502,0.002,5377,5377
2.502491,0.12543751290925068,-4.6299614819958,-27.56754457950592,0.0,8.27498429921042,-0.0,-0.0,0,0,2.5,0.001,5379,5379
2.522491,0.12002405112093853,0.9530474379643785,51.29351019859314,0.0,15.10288636942966,0.0,0.0,0,0,2.5,2.501,5379,5379
2.542491,0.10417003072496846,-0.9664557634909885,65.49936532974243,0.0,7.873349255881847,200.0,200.0,0,0,2.5010000000000003,2.501,5379,5379
2.562491,0.10968752583137865,-4.493419100134478,-5.807757377624512,0.0,42.99868447846751,-0.0,-0.0,0,0,2.5010000000000003,0.0,5382,5382
2.582465,0.06362500297846072,4.026782922283862,147.0189929008484,0.0,58.64065255761933,0.0,0.0,0,0,2.475,2.474,5382,5382
2.602488,0.046591156587946006,-7.410537663862489,-13.85217159986496,0.0,70.08273906954577,-0.0,-0.0,0,0,2.5010000000000003,2.501,5384,5384
2.622489,0.039009353882418295,3.3859299683353887,116.08507633209229,0.0,39.58345727972974,0.0,0.0,0,0,2.5010000000000003,2.501,5384,5384
2.642489,-0.034878001477142755,-6.402514560468711,-12.503758072853088,0.0,71.56910106150261,-0.0,-0.0,0,0,2.5010000000000003,2.501,5386,5386
2.662488,-0.02073612537525364,-0.6351630996007449,72.44672179222107,0.0,37.41142543959267,200.0,200.0,0,0,2.5010000000000003,2.501,5386,5386
2.68249,-0.12281922523162815,-1.033724208043875,-6.04318268597126,0.0,54.51446772790447,-200.0,-200.0,0,0,2.502,2.503,5387,5387
2.702489,-0.09339279880637588,-2.1118937162895293,9.503024071455002,0.0,0.42611041132916705,200.0,200.0,0,0,2.499,2.498,5386,5386
