t_rel_s,pitch_deg,pitch_rate_dps,balance_command_sps,target_velocity_sps,completed_velocity_sps,left_applied_sps,right_applied_sps,controller_saturation_flags,controller_fault_flags,motor_update_dt_ms,motor_feedback_age_ms,left_actual_steps,right_actual_steps
1.562489,10.495777019125908,6.2930189425271,2630.293655395508,0.0,2729.6352108200463,2800.0,2800.0,3,0,2.4979999999999998,4.996,3386,3386
1.58249,10.67725597050425,-18.49012728812937,2353.463363647461,0.0,2798.9011581335353,2800.0,2800.0,3,0,2.5,4.997,3441,3441
1.602487,10.321220543779239,-12.211868810310389,2423.592185974121,0.0,2694.215921640916,2400.0,2400.0,3,0,2.497,4.994,3491,3491
1.62249,9.93893384054119,-35.76256007849143,2160.5283737182617,0.0,2509.60810864,2400.0,2400.0,3,0,2.499,4.997,3539,3539
1.642489,9.601892942225641,0.5473328403131443,2566.11385345459,0.0,2363.1861263480873,2400.0,2400.0,2,0,2.499,4.996,3585,3585
1.662496,9.911955954868615,12.894107953980937,2704.0287017822266,0.0,2445.393199445419,2600.0,2600.0,2,0,2.505,0.003,3650,3650
1.68249,10.737692512593965,59.0905104131009,3220.047378540039,0.0,2562.2928074569822,3200.0,3200.0,2,0,2.5,4.997,3691,3691
1.70249,11.696778614323346,31.429776893089805,2911.073875427246,0.0,2880.2240959594196,3200.0,3200.0,3,0,2.5010000000000003,4.997,3754,3754
1.722491,12.148834561574784,-21.26168361266585,2322.5048065185547,0.0,3011.41210572483,3000.0,3000.0,3,0,2.5010000000000003,4.998,3814,3814
1.74249,12.182506608761745,24.130846699863408,2829.5440673828125,0.0,2860.5358827683117,2600.0,2600.0,3,0,2.5,4.997,3865,3865
1.762491,12.837206995166385,13.858698957275674,2714.803123474121,0.0,2741.140800205876,3000.0,3000.0,3,0,2.5,4.998,3922,3922
1.782491,12.928782783522125,-25.988823650043344,2269.7019577026367,0.0,2733.4626321267438,2600.0,2600.0,3,0,2.5010000000000003,4.998,3978,3978
1.802491,12.673243897221939,3.410401688248777,2598.0945587158203,0.0,2689.991570888323,2600.0,2600.0,3,0,2.502,4.998,4026,4026
1.82249,12.98484488041487,23.025173435983948,2817.193603515625,0.0,2526.225283480014,2600.0,2600.0,3,0,2.5,4.997,4077,4077
1.842491,14.009125040693942,33.44643107609989,2933.6002349853516,0.0,2606.596621540383,3200.0,3200.0,3,0,2.523,4.998,4134,4134
1.862491,15.003094902513766,58.48946255123235,0.0,0.0,2884.8685482384817,3200.0,3200.0,0,8,2.5010000000000003,4.998,4196,4196
1.88249,16.284498155918275,43.67071748580741,0.0,0.0,2991.2225533147302,1800.0,1800.0,0,8,2.5,4.997,4254,4254
1.902491,17.83494316449156,116.79856221029807,0.0,0.0,2249.522043667826,0.0,0.0,0,8,2.5,4.998,4275,4275
1.922491,21.737112386845965,283.25479015386503,0.0,0.0,1022.2427164891978,0.0,0.0,0,8,2.5010000000000003,4.998,4275,4275
1.94249,27.585165457653215,286.6844096226471,0.0,0.0,155.5574018051817,0.0,0.0,0,8,2.499,4.997,4275,4275
1.962491,33.43859734100459,286.68441890159875,0.0,0.0,0.3795105801750581,0.0,0.0,0,8,2.5010000000000003,4.998,4275,4275
1.98249,38.950172751312856,286.6844189016237,0.0,0.0,0.0007089369586873477,0.0,0.0,0,8,2.5010000000000003,4.997,4275,4275
2.002491,44.80016313634088,286.6844189016237,0.0,0.0,1.3234833208739296e-06,0.0,0.0,0,8,2.5,4.998,4275,4275
2.022491,50.65302144488345,286.6844189016237,0.0,0.0,2.4715293081027716e-09,0.0,0.0,0,8,2.5010000000000003,4.998,4275,4275
2.04249,56.16316289343447,286.6844189016237,0.0,0.0,4.6168896534710586e-12,0.0,0.0,0,8,2.5010000000000003,4.997,4275,4275
2.06249,62.01487403257122,286.6844189016237,0.0,0.0,8.621777026472341e-15,0.0,0.0,0,8,2.5,4.997,4275,4275
2.082464,66.19345660312719,-62.22064583654888,0.0,0.0,1.623272599520378e-17,0.0,0.0,0,8,2.474,4.971,4275,4275
2.10249,62.247294664323505,-215.89096564478723,0.0,0.0,3.0067088210206624e-20,0.0,0.0,0,8,2.5,4.997,4275,4275
2.12249,60.2006651257465,27.09361022763314,0.0,0.0,5.61485653417733e-23,0.0,0.0,0,8,2.5,4.997,4275,4275
2.142488,64.30288494282911,200.69523028061494,0.0,0.0,1.0492013280094266e-25,0.0,0.0,0,8,2.4979999999999998,4.995,4275,4275
2.16249,64.03402723199446,-166.2378908621791,0.0,0.0,1.958092701567344e-28,0.0,0.0,0,8,2.5,4.997,4275,4275
2.18249,62.79583693145662,89.41379526212032,0.0,0.0,3.656625983552396e-31,0.0,0.0,0,8,2.5,4.997,4275,4275
2.202498,64.39390212148187,17.814577968433383,0.0,0.0,6.811399171985717e-34,0.0,0.0,0,8,2.507,0.005,4275,4275
2.22249,63.11772524859756,-76.69657420637999,0.0,0.0,1.2751906673256643e-36,0.0,0.0,0,8,2.5,4.997,4275,4275
2.24249,63.576957593018086,37.28539503948568,0.0,0.0,2.3813455432391715e-39,0.0,0.0,0,8,2.5,4.997,4275,4275
2.262491,63.574382532142366,-23.83634085245679,0.0,0.0,4.445629571281028e-42,0.0,0.0,0,8,2.502,4.998,4275,4275
2.280216,63.45663459799061,0.9995672362587751,0.0,0.0,1.6965871972992432e-44,0.0,0.0,0,8,2.726,2.723,4275,4275
2.30249,63.21815556394843,-12.94899990580754,0.0,0.0,1.5508303615990554e-47,0.0,0.0,0,8,2.5010000000000003,4.997,4275,4275
2.322491,63.14069656301415,0.4130324889867012,0.0,0.0,2.8951771972526244e-50,0.0,0.0,0,8,2.5010000000000003,4.998,4275,4275
2.34249,63.10263866636762,-3.414668085786832,0.0,0.0,5.408276407299298e-53,0.0,0.0,0,8,2.5010000000000003,4.997,4275,4275
2.36249,63.080138986570645,-0.32316451034646193,0.0,0.0,1.0099646467878868e-55,0.0,0.0,0,8,2.5010000000000003,4.997,4275,4275
2.382491,63.07743717377557,0.8756074174244697,0.0,0.0,1.885458711548978e-58,0.0,0.0,0,8,2.5010000000000003,4.998,4275,4275
2.40249,63.09809416218464,1.7935696157123708,0.0,0.0,3.522092491017053e-61,0.0,0.0,0,8,2.5010000000000003,4.997,4275,4275
2.422491,63.15370974886868,3.0641478969655007,0.0,0.0,6.575240025667986e-64,0.0,0.0,0,8,2.503,4.998,4275,4275
2.442491,63.17413485509459,-1.1153002803266778,0.0,0.0,1.2278884195169126e-66,0.0,0.0,0,8,2.502,4.998,4275,4275
2.462489,63.07746380302572,-7.278655691817669,0.0,0.0,2.2944524985860541e-69,0.0,0.0,0,8,2.5,4.996,4275,4275
2.48249,63.055273836760236,4.428773333630244,0.0,0.0,4.2834127565288547e-72,0.0,0.0,0,8,2.5010000000000003,4.997,4275,4275
2.50249,63.050833951955646,-1.5724851321424014,0.0,0.0,7.99902801908509e-75,0.0,0.0,0,8,2.502,4.997,4275,4275
2.522489,63.1304156855623,3.292531371085315,0.0,0.0,1.494242029745066e-77,0.0,0.0,0,8,2.5,4.996,4275,4275
2.54249,62.98522552936411,-5.555029766077913,0.0,0.0,2.789534921945797e-80,0.0,0.0,0,8,2.5,4.997,4275,4275
2.560005,63.03431015278444,1.7635141076382772,0.0,0.0,1.1371732075719758e-82,0.0,0.0,0,8,2.516,2.512,4275,4275
2.582488,62.99069606782298,-1.1955530582165153,0.0,0.0,9.734177530502175e-86,0.0,0.0,0,8,2.499,4.995,4275,4275
2.60249,62.983162116106776,0.04718282321856098,0.0,0.0,1.816660107969849e-88,0.0,0.0,0,8,2.5010000000000003,4.997,4275,4275
2.622489,63.01654801987038,1.3243605060397483,0.0,0.0,3.393574670088779e-91,0.0,0.0,0,8,2.497,4.996,4275,4275
2.642488,63.0161927275483,-3.751147224891662,0.0,0.0,6.339297588439864e-94,0.0,0.0,0,8,2.4979999999999998,4.995,4275,4275
2.662489,62.75823815764637,-25.398895021716903,0.0,0.0,1.1834556685958573e-96,0.0,0.0,0,8,2.5,4.996,4275,4275
2.68249,61.91007036309515,-58.39084843258326,0.0,0.0,2.2093414924796966e-99,0.0,0.0,0,8,2.5010000000000003,4.997,4275,4275
2.702488,60.44294827894144,-93.61769303900995,0.0,0.0,4.128411854917782e-102,0.0,0.0,0,8,2.4979999999999998,4.995,4275,4275
2.72249,58.22770981204344,-121.2143124622673,0.0,0.0,7.704730166054441e-105,0.0,0.0,0,8,2.502,4.997,4275,4275
2.742485,55.4127012123275,-154.81300420713882,0.0,0.0,1.441076094947688e-107,0.0,0.0,0,8,2.496,4.992,4275,4275
2.762489,52.16881611008277,-177.45553112716883,0.0,0.0,2.687747433262255e-110,0.0,0.0,0,8,2.4949999999999997,4.996,4275,4275
2.78249,48.55635806903717,-170.06551699180696,0.0,0.0,5.0176378238633846e-113,0.0,0.0,0,8,2.5,4.997,4275,4275
2.802492,45.34816982561363,-145.41444260778528,0.0,0.0,9.364265694035482e-116,0.0,0.0,0,8,2.502,4.999,4275,4275
2.822489,42.80623096207282,-120.11180662327142,0.0,0.0,1.7503719003094706e-118,0.0,0.0,0,8,2.4979999999999998,4.996,4275,4275
2.842513,40.68095718453752,-90.17284443760357,0.0,0.0,3.2441663987619296e-121,0.0,0.0,0,8,2.544,0.02,4275,4275
2.862511,38.92414256440269,-87.11679948956684,0.0,0.0,6.062102696918305e-124,0.0,0.0,0,8,2.521,0.018,4275,4275
2.882488,37.208735623465905,-90.79125436119385,0.0,0.0,1.1402724915268104e-126,0.0,0.0,0,8,2.497,4.995,4275,4275
2.90249,35.34450158187801,-94.53635048314028,0.0,0.0,2.1280560592624396e-129,0.0,0.0,0,8,2.497,4.997,4275,4275
2.922489,33.29920297056128,-118.46395986325167,0.0,0.0,3.975271492757311e-132,0.0,0.0,0,8,2.5,4.996,4275,4275
2.942492,30.631957713381794,-140.1975105926606,0.0,0.0,7.41659858124507e-135,0.0,0.0,0,8,2.502,4.999,4275,4275
2.96249,27.577486023726227,-156.6640512167739,0.0,0.0,1.385877810659908e-137,0.0,0.0,0,8,2.5010000000000003,4.997,4275,4275
2.982489,24.477504255640874,-163.8991920905141,0.0,0.0,2.588860631364518e-140,0.0,0.0,0,8,2.5,4.996,4275,4275
3.002494,21.212717903405476,-152.40784870529035,0.0,0.0,4.82696083894771e-143,0.0,0.0,0,8,2.504,0.001,4275,4275
3.02249,18.290791092478795,-135.95424015929729,0.0,0.0,9.025407473265424e-146,0.0,0.0,0,8,2.5010000000000003,4.997,4275,4275
3.042489,15.788105876355834,-127.055758553389,0.0,0.0,1.685972739431776e-148,0.0,0.0,0,8,2.5,4.996,4275,4275
